placeName;getty;gnd;long;lat;comment
Felsberg;;4092124-4;+009.421388;+051.137500;
Ferrara;7004264;;11.6333;44.8333;
Fiesole;7006141;;11.2833;43.8;
Figline Valdarno;;4392330-6;+011.469329;+043.619549;
Firenze;7000457;;11.25;43783;
Flensburg;7005971;4017506-6;9.4333;54.7833;
Florenz;;4017581-9;+011.250000;+043.766669;
Forchheim;;4017819-5;+011.058611;+049.717500;
Forlì;;4086516-2;+012.052780;+044.223610;
Framlingham;7010931;;1.35;52.2167;
Franeker;7007016;4237485-6;5.55;53.1833;
Frankenberg/Sa.;;4093143-2;+013.040110;+050.912970;
Frankenstein in Schlesien;;4093148-1;+016.812222;+050.589444;
Frankenthal;7012458;;8.3667;49.5333;
Frankfurt;7003723;;13.75;52.5;
Frankfurt (Oder);7005972;4018122-4;14.5333;52.3333;
Frankfurt am Main;7005293;4018118-2;8.6833;50.1;
Frankfurt/M.;7005293;;8.6833;50.1;
Frankfurt/O.;7005972;;14.5333;52.3333;
Frauenfeld;;4018220-4;+008.898333;+047.558055;
Fraustadt;;4093218-7;+016.316629;+051.807049;
Fregenal de la Sierra;;7532366-7;-006.653699;+038.169220;
Freiberg;;4018266-6;+013.338611;+050.910833;
Freiburg im Breisgau;;4018272-1;+007.852222;+047.995833;
Freiburg, Schweiz;7007278;;7.1667;46.8333;
Freistadt;7003287;;14.5167;48.5167;
Freyberg;;;;;
Freystadt in Schlesien;1049149;4308049-2;+015.594722;+051.745555;
Friedberg (Hessen);7012315;4018510-2;+008.755833;+050.337222;
Friedland (Mecklenburg);1136834;4093298-9;+013.554000;+053.670279;
Friedrichsburg;7182907;;;;
Friedrichswerder;7003712;;13.4167;52.5333;
Fulda;;4018859-0;+009.675179;+050.551619;
Fürstenau (Landkreis Osnabrück);;4093387-8;+007.676666;+052.516666;
Fürth;7013366;;10.9833;49.4667;
Gandersheim;7005633;;10.0333;51.8833;
Gardelegen;1036756;;11.4;52.55;
Geisa;;4092746-5;+009.950749;+050.714649;
Geisenhausen;;;;;
Genf;7007279;4020137-5;6.15;46.2167;
Gent;7007887;4020176-4;3.7;51.0333;
Genua;;4020185-5;+008.933859;+044.406320;
Gera;7012815;4020295-1;12.0833;50.8667;
Gerstungen-Marksuhl;;4717489-4;+010.199999;+050.916670;
Gießen;7004429;4020989-1;8.7;50.5833;
Glatz;7007687;;16.6667;50.4667;
Glaucha;7185867;;;;
Glogau;;4093614-4;+016.084499;+051.663609;
Glückstadt;;4021332-8;+009.425760;+053.788930;
Glückstadt;7012480;;9.4333;53.7833;
Gorinchem;;4238291-9;+004.972430;+051.836520;
Gorsleben;;4742275-0;+011.183329;+051.266669;
Goslar;7005630;4021643-3;10.4167;51.9167;
Gotha;;4021652-4;+010.701666;+050.948055;
Gotha;7005938;;10.7167;50.95;
Gouda;7006805;4104351-0;4.7167;52.0167;
Grafschaft Hanau;;;;;
Grantham;7010741;;-.6333;52.9;
Graslitz;1027299;;12.5167;50.35;
Grave;;4252903-7;+005.738819;+051.759019;
Graz;;4021912-4;+015.450000;+047.066666;
Grebenstein;1039321;;9.4;51.45;
Greenwich;;4093927-3;-000.011760;+051.477849;
Greifenberg;;5194436-4;15.416667;51.033333;
Greifenhagen;;4281190-9;+014.488310;+053.252429;
Greifswald;7004725;4021965-3;13.3833;54.0833;
Greifswald-Eldena;7004726;;13.4333;54.0833;
Greiz;1036834;;12.1833;50.6667;
Grenoble;7008759;;5.7167;45.1833;
Greußen;7176202;4391494-9;+010.944166;+051.229722;
Grimma;;4022085-0;+012.719590;+051.233669;
Groningen;7006984;4094052-4;6.5833;53.2167;
Groß Grönau;7174998;;;;
Groß-Glogau;1137033;;16.1;51.6667;
Großenhain;7175928;4094082-2;+013.533500;+051.289509;
Gröningen;;4333297-3;+011.216111;+051.937500;
Grünberg (Landkreis Gießen);;4022283-4;+008.958611;+050.593888;
Grünberg i. Schlesien;;4094132-2;+015.506388;+051.935277;
Guben;1049078;;14.7167;51.95;
Guhrau;1049033;;16.5333;51.6667;
Gundelfingen a.d. Donau;;4086854-0;+010.372230;+048.553469;
Gunzenhausen;;4022556-2;+010.759710;+049.116630;
Gênes;7008546;;8.95;44.4167;
Göhrde;1039164;;10.9;53.1333;
Göppingen;;4021434-5;+009.654880;+048.702800;
Göritz;;102738143X;+013.915555;+053.406111;
Görlitz;7012813;4021441-2;15;51.15;
Göteborg;7009954;;11.9667;57.7167;
Göttingen;7005246;4021477-1;9.95;51.5333;
Güstrow;7004797;;12.1833;53.8;
Gütersloh;;4132018-9;+008.378539;+051.906930;
Haag;7006810;;4.2667;52.0833;
Haarlem;7007048;4022687-6;4.6333;52.3833;
Hagenau;7008077;4094465-7;7.7833;48.8167;
Haguenau;7008077;4094465-7;7.7833;48.8167;
Haigerloch;;4022962-2;+008.803570;+048.366140;
Halberstadt;7012317;4022987-7;11.0667;51.9;
Halle (Saale);1036898;4023025-9;11.9667;51.4833;
Hallein;7003258;;13.1;47.6833;
Hamburg;7005289;4023118-5;10;53.55;
Hamburg-Altona;7012310;;9.9333;53.55;
Hameln;7005479;;9.3667;52.1167;
Hamm;7005089;;7.8167;51.6667;
Hammelburg;;4023171-9;+009.891429;+050.116320;
Hanau;7005295;4023201-3;8.9333;50.1333;
Handewitt;;4292637-3;+009.333330;+054.766669;
Hann. Münden;;4040595-3;+009.650460;+051.415050;
Hann. Münden;7005936;;9683;51.4167;
Hannover;7013260;4023349-2;9.7333;52.4;
Hardegsen;;4329620-8;+009.830500;+051.652270;
Harderwijk;7006902;;5.6167;52.35;
Harlingen;7007015;;5.4167;53.1667;
Harzburg;7012364;;10.55;51.8833;
Haselünne;;4104376-5;+007.484600;+052.674120;Landkreis Emsland
Hatfield;7011870;;-.2167;51.7667;
Hauptwil;4023691-2;;9.2525;47481;
Hedwigsburg;7167979;;10.5833;52.1000;
Heide;;4023987-1;+009.098800;+054.195790;
Heidelberg;7005177;4023996-2;8.7;49.4167;
Heilbronn;7012495;;9.2333;49.1333;
Heilsbronn;;;;;
Heinrichs;;4742210-5;+010.655490;+050.600119;
Helmstedt;7005247;4024344-8;11.0167;52.2333;
Herborn;1039554;4024455-6;8.3167;50.6833;
Herford;;4024481-7;+008.673429;+052.114570;
Herk-de-Stad;;7676707-3;+005.166360;+050.940130;
Hermannstadt;7004269;;24.15;45.7667;
Herrenberg;;4024574-3;+008.866479;+048.595230;
Herrenhausen;7172344;;9.6833; 52.3833;
Hersbruck;;4024603-6;+011.431509;+049.510829;
Herzogenaurach;;4024691-7;+010.885650;+049.567979;
Herzogenbusch;7006837;;5.3167;51.6833;
Hessisch Oldendorf;;4095179-0;+009.249129;+052.172690;
Hildburghausen;1036943;4089228-1;10.75;50.4167;
Hilden;;4024876-8;+006.930930;+051.168179;
Hildesheim;7005248;4024881-1;9.9667;52.15;
Hilpoltstein;;4024918-9;+011.190599;+049.190469;
Hindenburg (Altmark);;1124181199;+011.928888;+052.754444;
Hirschberg;1049105;4025049-0;+015.728888;+050.899722;
Hof;7012508;;11.9333;50.3167;
Hofgeismar;7005297;;9.3667;51.4833;
Hohenems;1025669;;9.7167;47.3833;
Holzminden;;4025727-7;+009.445499;+051.827979;
Hoorn;7007056;;5.05;52.6333;
Hornbach;1039686;;7.3833;49.1833;
Horní Slavkov;;4273968-8;+012.807579;+050.138629;
Huesca;7007785;;-.4167;42.1333;
Husum;7012515;4026249-2;9.0667;54.4833;
Höchst;4012613;;8559;50.1;
Höchstädt an der Donau;1039390;4025322-3;+010.568055;+048.611111;
Höxter;;4025451-3;+009.381550;+051.775010;
Ilfeld;1036989;;10.8;51.5833;
