ISIL;ILN;ELN;Bibliothek;Anschrift;PLZ;Ort;Bundesland;Land;Lat;Long;Website;OPAC
DE-Kon2;2154;KNSA;Stadtarchiv Konstanz, Bibliothek;Benediktinerpl. 5;78467;Konstanz;Baden-Württemberg;DE;47.66827;9.17845;http://www.konstanz.de/wirtschaft/01384/01714/01725/index.html;http://pollux.bsz-bw.de/DB=2.203/
DE-Stg260;2155;S1HH;Haus der Heimat des Landes Baden-Württemberg, Bibliothek;Schlossstraße 92;70176;Stuttgart;Baden-Württemberg;DE;48.77635;9.16163;http://www.hdhbw.de;http://pollux.bsz-bw.de/DB=2.203/
DE-D264;2156;DDHA;Hannah-Arendt-Institut für Totalitarismusforschung e.V., Bibliothek;Helmholtzstr. 6;01069;Dresden;Sachsen;DE;51.02955;13.72440;http://www.hait.tu-dresden.de/open;http://www.hait.tu-dresden.de/open/Mediensuche/Einfache-Suche
DE-24-1;2157;S1LBDP;Deutsche Pharmazeutische Zentralbibliothek;Konrad-Adenauer-Str. 8-10;70173;Stuttgart;Baden-Württemberg;DE;48.77734;9.18543;https://www.wlb-stuttgart.de/die-wlb/weitere-einrichtungen/deutsche-pharmazeutische-zentralbibliothek/;http://www.hait.tu-dresden.de/open/Mediensuche/Einfache-Suche
DE-D115;2158;DDLA;Landesamt für Archäologie Sachsen, Bibliothek;Zur Wetterwarte 7;01109;Dresden;Sachsen;DE;51.12975;13.79000;http://www.archaeologie.sachsen.de;http://www.hait.tu-dresden.de/open/Mediensuche/Einfache-Suche
DE-984;2159;S2SGFH;Hochschule für Gestaltung Schwäbisch Gmünd, Bibliothek;Rektor-Klaus-Str. 98;73525;Schwäbisch Gmünd;Baden-Württemberg;DE;48.79359;9.79344;http://bibliothek.hfg-gmuend.de/;http://www.hait.tu-dresden.de/open/Mediensuche/Einfache-Suche
DE-D117;2161;DDMH;Hochschule für Musik 'Carl Maria von Weber', Hochschulbibliothek;Wettiner Pl. 13;01067;Dresden;Sachsen;DE;51.05381;13.72492;http://www.hfmdd.de/hochschule/einrichtungen/bibliothek/;http://www.hait.tu-dresden.de/open/Mediensuche/Einfache-Suche
DE-Stg267;2162;S1TH;Stiftung Bundespräsident-Theodor-Heuss-Haus, Bibliothek;Breitscheidstr. 48;70176;Stuttgart;Baden-Württemberg;DE;48.77737;9.16243;http://www.stiftung-heuss-haus.de;http://www.hait.tu-dresden.de/open/Mediensuche/Einfache-Suche
DE-Bret1;2163;KABRMU;Melanchthonhaus, Bibliothek;Melanchthonstr. 1;75015;Bretten;Baden-Württemberg;DE;49.03680;8.70685;http://www.melanchthon.com;http://www.ubka.uni-karlsruhe.de/kgk/
DE-Tue126;2164;TUAUDG;Institut für donauschwäbische Geschichte und Landeskunde (idgl), Bibliothek;Mohlstr. 18;72074;Tübingen;Baden-Württemberg;DE;48.52914;9.06243;https://idglbw.de/de/bibliothek/bibliothek;http://www.ubka.uni-karlsruhe.de/kgk/
